source;target;weight;description
stairs_left;stairs_left_conn;6;Öffne die Tür. Biege sofort rechts ab. Gehe 6 Schritte geradeaus bis die Wand links endet.
stairs_left_conn;stairs_left;6;Gehe 6 Schritte geradeaus weiter entlang bis zur Wand vorne. Die Treppentür befindet sich links.
stairs_left_conn;F4.27_c;2;Gehe 2 Schritte im Korridor geradeaus.
F4.27_c;stairs_left_conn;2;Gehe im Korridor 2 Schritte geradeaus bis zur Wand vor dir.
F4.27;F4.27_c;4;Öffne die Tür vor dir und verlasse den Raum F4.27. Gehe 4 Schritte geradeaus in den Korridor.
F4.27_c;F4.27;4;Gehe 4 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.27.
F4.26;F4.26_c;2;Öffne die Tür vor dir und verlasse den Raum F4.26. Gehe 2 Schritte geradeaus in den Korridor.
F4.26_c;F4.26;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.26.
F4.25;F4.25_c;2;Öffne die Tür vor dir und verlasse den Raum F4.25. Gehe 2 Schritte geradeaus in den Korridor.
F4.25_c;F4.25;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.25.
F4.24;F4.24_c;2;Öffne die Tür vor dir und verlasse den Raum F4.24. Gehe 2 Schritte geradeaus in den Korridor.
F4.24_c;F4.24;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.24.
F4.23;F4.23_c;2;Öffne die Tür vor dir und verlasse den Raum F4.23. Gehe 2 Schritte geradeaus in den Korridor.
F4.23_c;F4.23;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.23.
F4.22;F4.22_c;2;Öffne die Tür vor dir und verlasse den Raum F4.22. Gehe 2 Schritte geradeaus in den Korridor.
F4.22_c;F4.22;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.22.
F4.20;F4.20_c;2;Öffne die Tür vor dir und verlasse den Raum F4.20. Gehe 2 Schritte geradeaus in den Korridor.
F4.20_c;F4.20;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.20.
F4.08;F4.01_F4.08_c;2;Öffne die Tür vor dir und verlasse den Raum F4.08. Gehe 2 Schritte geradeaus in den Korridor.
F4.01_F4.08_c;F4.08;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.08.
F4.07;F4.02_F4.07_c;2;Öffne die Tür vor dir und verlasse den Raum F4.07. Gehe 2 Schritte geradeaus in den Korridor.
F4.02_F4.07_c;F4.07;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.07.
F4.06;F4.03_F4.06_c;2;Öffne die Tür vor dir und verlasse den Raum F4.06. Gehe 2 Schritte geradeaus in den Korridor.
F4.03_F4.06_c;F4.06;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.06.
F4.05;F4.04_F4.05_c;3;Öffne die Tür vor dir und verlasse den Raum F4.05. Gehe 3 Schritte geradeaus in den Korridor.
F4.04_F4.05_c;F4.05;3;Gehe 3 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.05.
F4.04;F4.04_F4.05_c;3;Öffne die Tür vor dir und verlasse den Raum F4.04. Gehe 3 Schritte geradeaus in den Korridor.
F4.04_F4.05_c;F4.04;3;Gehe 3 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.04.
F4.03;F4.03_F4.06_c;2;Öffne die Tür vor dir und verlasse den Raum F4.03. Gehe 2 Schritte geradeaus in den Korridor.
F4.03_F4.06_c;F4.03;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.03.
F4.02;F4.02_F4.07_c;2;Öffne die Tür vor dir und verlasse den Raum F4.02. Gehe 2 Schritte geradeaus in den Korridor.
F4.02_F4.07_c;F4.02;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.02.
F4.01;F4.01_F4.08_c;2;Öffne die Tür vor dir und verlasse den Raum F4.01. Gehe 2 Schritte geradeaus in den Korridor.
F4.01_F4.08_c;F4.01;2;Gehe 2 Schritte geradeaus. Vor dir ist die Tür des Raumes F4.01.
F4.01_F4.08_c;F4.02_F4.07_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.02_F4.07_c;F4.01_F4.08_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.03_F4.06_c;F4.02_F4.07_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.02_F4.07_c;F4.03_F4.06_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.04_F4.05_c;F4.03_F4.06_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.03_F4.06_c;F4.04_F4.05_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.27_c;F4.26_c;3;Gehe im Korridor 3 Schritte geradeaus.
F4.26_c;F4.27_c;3;Gehe im Korridor 3 Schritte geradeaus.
