node;coord_x;coord_y;type
stairs_middle;6;8;stairs
stairs_right;28;8;stairs
stairs_right_conn;28;3;conn
toilet;1;2;TOILETTE
lift;7;2;AUFZUG
F2.01;13;3;room
F2.02;17;3;room
F2.03;25;3;room
F2.04;26;3;room
F2.05;29;0;room
F2.01_c;13;0;corridor
F2.02_c;17;0;corridor
F2.03_c;25;0;corridor
F2.04_c;26;0;corridor
F2.05_c;28;0;corridor
door_right;12;2;door
door_right_c;12;0;door
