node;coord_x;coord_y;type
toilet;1;2;TOILETTE
stairs_middle;6;8;stairs
lift;7;2;AUFZUG
door_right;12;4;door
F3.01;16;1;room
F3.01_F3.02_c;16;4;conn
F3.10;18;5;room
F3.02;18;1;room
F3.02_F3.10_c;18;4;conn
F3.03;20;2;corridor
F3.09;20;7;room
F3.04;23;2;room
F3.08;23;7;room
F3.04_F3.07_F3.08_c;23;4;conn
F3.07;28;5;room
F3.06;30;2;room
F3.06_c;30;4;conn
stairs_right_conn;32;4;conn
stairs_right;32;8;stairs
